target,id,question,question_concept,input,input_choices
B,2e83c5989a018bec6d5f5ac7d3b72f49,"{'question_concept': 'talking', 'choices': [{'label': 'A', 'text': 'walking'}, {'label': 'B', 'text': 'ask question'}, {'label': 'C', 'text': 'think'}, {'label': 'D', 'text': 'write question in crayon'}, {'label': 'E', 'text': 'sneeze'}], 'stem': 'When someone is talking and you missed something, what can you do to get them to repeat it?'}",talking,"When someone is talking and you missed something, what can you do to get them to repeat it?","A: walking, B: ask question, C: think, D: write question in crayon, E: sneeze"
A,2ec7f8fe7948f9997e73f9bff7ba6e05,"{'question_concept': 'want', 'choices': [{'label': 'A', 'text': 'oversupply'}, {'label': 'B', 'text': 'plentitude'}, {'label': 'C', 'text': 'stockpile'}, {'label': 'D', 'text': 'superabundance'}, {'label': 'E', 'text': 'busy'}], 'stem': 'What do most companies not want to have relative to demand?'}",want,What do most companies not want to have relative to demand?,"A: oversupply, B: plentitude, C: stockpile, D: superabundance, E: busy"
A,651785ed4f7b0bd2e7ca9f70a42acea5,"{'question_concept': 'playing basketball', 'choices': [{'label': 'A', 'text': 'sweating'}, {'label': 'B', 'text': 'pain'}, {'label': 'C', 'text': 'having fun'}, {'label': 'D', 'text': 'medium'}, {'label': 'E', 'text': 'knee injury'}], 'stem': ""What is happening while he's playing basketball for such a long time?""}",playing basketball,What is happening while he's playing basketball for such a long time?,"A: sweating, B: pain, C: having fun, D: medium, E: knee injury"
C,303aedda3a5ab8d853cbe4edc4b914c6,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'synagogue'}, {'label': 'B', 'text': 'for help'}, {'label': 'C', 'text': 'hospital'}, {'label': 'D', 'text': 'bus stop'}, {'label': 'E', 'text': 'building'}], 'stem': 'The person was in physical distress, where should he go?'}",person,"The person was in physical distress, where should he go?","A: synagogue, B: for help, C: hospital, D: bus stop, E: building"
B,720b98fbc365736597147c984f6bd301,"{'question_concept': 'die', 'choices': [{'label': 'A', 'text': 'not to live'}, {'label': 'B', 'text': 'write will'}, {'label': 'C', 'text': 'never want'}, {'label': 'D', 'text': 'seek help'}, {'label': 'E', 'text': 'go to hell'}], 'stem': 'The cancer patient was expecting to die, so he made out his what?'}",die,"The cancer patient was expecting to die, so he made out his what?","A: not to live, B: write will, C: never want, D: seek help, E: go to hell"
A,0547da29ffab9b441bae8870cd0f9dab,"{'question_concept': 'beginning work', 'choices': [{'label': 'A', 'text': 'getting tired'}, {'label': 'B', 'text': 'working'}, {'label': 'C', 'text': 'procrastination'}, {'label': 'D', 'text': 'jumping'}, {'label': 'E', 'text': 'sitting down'}], 'stem': 'If you partied all night you could find yourself already what, even when just beginning work?'}",beginning work,"If you partied all night you could find yourself already what, even when just beginning work?","A: getting tired, B: working, C: procrastination, D: jumping, E: sitting down"
A,82e26bc22af89c38d54aa2d00dcb8a2b,"{'question_concept': 'talking to', 'choices': [{'label': 'A', 'text': 'listening'}, {'label': 'B', 'text': 'language'}, {'label': 'C', 'text': 'looking at eyes'}, {'label': 'D', 'text': 'planning the perfect murder'}, {'label': 'E', 'text': 'voice'}], 'stem': 'What is someone usually doing if someone else is talking to him or her?'}",talking to,What is someone usually doing if someone else is talking to him or her?,"A: listening, B: language, C: looking at eyes, D: planning the perfect murder, E: voice"
E,5b8d76889510384b38b72945e8d28f53,"{'question_concept': 'run', 'choices': [{'label': 'A', 'text': 'learn to walk'}, {'label': 'B', 'text': 'frightened'}, {'label': 'C', 'text': 'get away from'}, {'label': 'D', 'text': 'exercise'}, {'label': 'E', 'text': 'go faster'}], 'stem': 'He picked up his pace to a run, he wanted to do what?'}",run,"He picked up his pace to a run, he wanted to do what?","A: learn to walk, B: frightened, C: get away from, D: exercise, E: go faster"
D,d81f5c49bc060dc799681bf4cacac73a,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'talk to people'}, {'label': 'B', 'text': 'try again'}, {'label': 'C', 'text': 'fall asleep'}, {'label': 'D', 'text': 'stand alone'}, {'label': 'E', 'text': 'thank god'}], 'stem': 'What would a person do if they do not have any friends?'}",person,What would a person do if they do not have any friends?,"A: talk to people, B: try again, C: fall asleep, D: stand alone, E: thank god"
D,aaf4fa38433c84b3bd0a86551259ce62,"{'question_concept': 'dying', 'choices': [{'label': 'A', 'text': 'change of color'}, {'label': 'B', 'text': 'stop breathing'}, {'label': 'C', 'text': 'wake up'}, {'label': 'D', 'text': 'death and decay'}, {'label': 'E', 'text': 'getting cold'}], 'stem': 'As a result of dying, what happens to organic material?'}",dying,"As a result of dying, what happens to organic material?","A: change of color, B: stop breathing, C: wake up, D: death and decay, E: getting cold"
A,33ea932a876ac0361c9eefeff1d24e92,"{'question_concept': 'everyone', 'choices': [{'label': 'A', 'text': 'feelings'}, {'label': 'B', 'text': 'food'}, {'label': 'C', 'text': 'unique personality'}, {'label': 'D', 'text': 'different standards'}, {'label': 'E', 'text': 'values'}], 'stem': 'What does everyone have in relation to other people?'}",everyone,What does everyone have in relation to other people?,"A: feelings, B: food, C: unique personality, D: different standards, E: values"
D,aead08289ca9abfcd169f935ea228ee5,"{'question_concept': 'child', 'choices': [{'label': 'A', 'text': 'ask questions'}, {'label': 'B', 'text': 'count to ten'}, {'label': 'C', 'text': 'costume'}, {'label': 'D', 'text': 'state name'}, {'label': 'E', 'text': 'dress herself'}], 'stem': 'What do you ask a child to do when you first meet her?'}",child,What do you ask a child to do when you first meet her?,"A: ask questions, B: count to ten, C: costume, D: state name, E: dress herself"
B,1caf93d6a22dc8190e19c14bbe1fafda,"{'question_concept': 'see new', 'choices': [{'label': 'A', 'text': 'interesting'}, {'label': 'B', 'text': 'look around'}, {'label': 'C', 'text': 'take pictures'}, {'label': 'D', 'text': 'change of surroundings'}, {'label': 'E', 'text': 'new experience'}], 'stem': ""What do you do when you're in a new place and want to see new things?""}",see new,What do you do when you're in a new place and want to see new things?,"A: interesting, B: look around, C: take pictures, D: change of surroundings, E: new experience"
A,70701f5d1d62e58d5c74e2e303bb4065,"{'question_concept': 'sitting quietly', 'choices': [{'label': 'A', 'text': 'reading'}, {'label': 'B', 'text': 'meditate'}, {'label': 'C', 'text': 'fall asleep'}, {'label': 'D', 'text': 'bunk'}, {'label': 'E', 'text': 'think'}], 'stem': 'What is someone doing if he or she is sitting quietly and his or her eyes are moving?'}",sitting quietly,What is someone doing if he or she is sitting quietly and his or her eyes are moving?,"A: reading, B: meditate, C: fall asleep, D: bunk, E: think"
B,c76304b4962f94ab9f20f09cf4a1a7c1,"{'question_concept': 'surprising', 'choices': [{'label': 'A', 'text': 'humor'}, {'label': 'B', 'text': 'fight'}, {'label': 'C', 'text': 'jocose'}, {'label': 'D', 'text': 'laughter'}, {'label': 'E', 'text': 'accidents'}], 'stem': 'Surprising an angry person could lead to what?'}",surprising,Surprising an angry person could lead to what?,"A: humor, B: fight, C: jocose, D: laughter, E: accidents"
C,c35f7de9e9005fcf654cb0b23f17acd6,"{'question_concept': 'killing people', 'choices': [{'label': 'A', 'text': 'vengeance'}, {'label': 'B', 'text': 'going to prison'}, {'label': 'C', 'text': 'joy'}, {'label': 'D', 'text': 'afraid'}, {'label': 'E', 'text': 'terrible'}], 'stem': 'Killing people should not cause what emotion?'}",killing people,Killing people should not cause what emotion?,"A: vengeance, B: going to prison, C: joy, D: afraid, E: terrible"
C,d910859b9d1acae40456dbeaa8334bc0,"{'question_concept': 'playing football', 'choices': [{'label': 'A', 'text': 'exhilaration'}, {'label': 'B', 'text': 'interactions'}, {'label': 'C', 'text': 'head injuries'}, {'label': 'D', 'text': 'death'}, {'label': 'E', 'text': 'having fun'}], 'stem': 'James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?'}",playing football,"James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?","A: exhilaration, B: interactions, C: head injuries, D: death, E: having fun"
A,6ca8439d062de4d43d7d471c508b78db,"{'question_concept': 'have fun', 'choices': [{'label': 'A', 'text': 'enjoy living'}, {'label': 'B', 'text': 'happy'}, {'label': 'C', 'text': 'enjoyable'}, {'label': 'D', 'text': 'get laid'}, {'label': 'E', 'text': 'do enjoy'}], 'stem': ""More people should lower the guard and just have fun, we don't got long just what?""}",have fun,"More people should lower the guard and just have fun, we don't got long just what?","A: enjoy living, B: happy, C: enjoyable, D: get laid, E: do enjoy"
B,c770870c88f35f9d110217049c5a7334,"{'question_concept': 'affair', 'choices': [{'label': 'A', 'text': 'relationship'}, {'label': 'B', 'text': 'marriage'}, {'label': 'C', 'text': 'fidelity'}, {'label': 'D', 'text': 'love'}, {'label': 'E', 'text': 'divorce'}], 'stem': 'She was in an affair, what did that end upon discovery by her husband?'}",affair,"She was in an affair, what did that end upon discovery by her husband?","A: relationship, B: marriage, C: fidelity, D: love, E: divorce"
A,57e96118fee6e2bbac5f59790fc833c0,"{'question_concept': 'hearing testimony', 'choices': [{'label': 'A', 'text': 'change of heart'}, {'label': 'B', 'text': 'anguish'}, {'label': 'C', 'text': 'anger'}, {'label': 'D', 'text': 'boredom'}, {'label': 'E', 'text': 'anxiety'}], 'stem': 'If a court case is dismissed after hearing testimony, what would be a likely cause?'}",hearing testimony,"If a court case is dismissed after hearing testimony, what would be a likely cause?","A: change of heart, B: anguish, C: anger, D: boredom, E: anxiety"
A,b9b82aa4c236cd342ff95455b8516a42,"{'question_concept': 'sitting down', 'choices': [{'label': 'A', 'text': 'flatulence'}, {'label': 'B', 'text': 'happiness'}, {'label': 'C', 'text': 'laziness'}, {'label': 'D', 'text': 'fall asleep'}, {'label': 'E', 'text': 'comfort'}], 'stem': 'Sitting down quickly after eating beans could lead to what?'}",sitting down,Sitting down quickly after eating beans could lead to what?,"A: flatulence, B: happiness, C: laziness, D: fall asleep, E: comfort"
E,0b90c6710a65eb55fea4cc92895bf601,"{'question_concept': 'have food', 'choices': [{'label': 'A', 'text': 'stay alive'}, {'label': 'B', 'text': 'wanted to survive'}, {'label': 'C', 'text': 'nutrition'}, {'label': 'D', 'text': 'grew'}, {'label': 'E', 'text': 'full'}], 'stem': 'You stop and have food all around you, what are you?'}",have food,"You stop and have food all around you, what are you?","A: stay alive, B: wanted to survive, C: nutrition, D: grew, E: full"
A,70af2b5df22ec96901350dfa3c9ee74f,"{'question_concept': 'meeting friend', 'choices': [{'label': 'A', 'text': 'relaxation'}, {'label': 'B', 'text': 'panic'}, {'label': 'C', 'text': 'alarm'}, {'label': 'D', 'text': 'joy'}, {'label': 'E', 'text': 'cheer'}], 'stem': ""James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?""}",meeting friend,James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?,"A: relaxation, B: panic, C: alarm, D: joy, E: cheer"
D,f9243ef9f0037657c337d3c6a9832f05,"{'question_concept': 'loose', 'choices': [{'label': 'A', 'text': 'sturdy'}, {'label': 'B', 'text': 'faithful'}, {'label': 'C', 'text': 'bound'}, {'label': 'D', 'text': 'compact'}, {'label': 'E', 'text': 'packaged'}], 'stem': ""The car's steering seem quite loose, but he still considered purchasing it because he needed something small and what?""}",loose,"The car's steering seem quite loose, but he still considered purchasing it because he needed something small and what?","A: sturdy, B: faithful, C: bound, D: compact, E: packaged"
B,63b3652d54c8c0e571f6bb50de318bf0,"{'question_concept': 'going to bed', 'choices': [{'label': 'A', 'text': 'hatred'}, {'label': 'B', 'text': 'sleeping in'}, {'label': 'C', 'text': 'rest'}, {'label': 'D', 'text': 'making love'}, {'label': 'E', 'text': 'insomnia'}], 'stem': ""It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?""}",going to bed,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?,"A: hatred, B: sleeping in, C: rest, D: making love, E: insomnia"
C,092c24369367b3c7457198f3ce160fe3,"{'question_concept': 'alto', 'choices': [{'label': 'A', 'text': 'symphony'}, {'label': 'B', 'text': 'concerto'}, {'label': 'C', 'text': 'choir'}, {'label': 'D', 'text': 'theater troupe'}, {'label': 'E', 'text': 'marching band'}], 'stem': 'Her voice lent her to the alto section, what group did she join?'}",alto,"Her voice lent her to the alto section, what group did she join?","A: symphony, B: concerto, C: choir, D: theater troupe, E: marching band"
E,5a50ea4bb2d13dc4f620ebd45025d445,"{'question_concept': 'dream', 'choices': [{'label': 'A', 'text': 'awake'}, {'label': 'B', 'text': 'horror'}, {'label': 'C', 'text': 'dreamworker'}, {'label': 'D', 'text': 'reality'}, {'label': 'E', 'text': 'nightmare'}], 'stem': ""Sam couldn't get back to sleep because of a dream he had.  It was a what?""}",dream,Sam couldn't get back to sleep because of a dream he had.  It was a what?,"A: awake, B: horror, C: dreamworker, D: reality, E: nightmare"
B,8becd2ee4e86258566a9c2b0e6d9544e,"{'question_concept': 'going to party', 'choices': [{'label': 'A', 'text': 'getting drunk'}, {'label': 'B', 'text': 'making new friends'}, {'label': 'C', 'text': 'new contacts'}, {'label': 'D', 'text': 'doing drugs'}, {'label': 'E', 'text': 'set home'}], 'stem': ""If you're going to a party in a new town what are you hoping to make?""}",going to party,If you're going to a party in a new town what are you hoping to make?,"A: getting drunk, B: making new friends, C: new contacts, D: doing drugs, E: set home"
E,2a21820a135e1a49883525c055c74a0b,"{'question_concept': 'riding bike', 'choices': [{'label': 'A', 'text': 'practice'}, {'label': 'B', 'text': 'sense of balance'}, {'label': 'C', 'text': 'driving'}, {'label': 'D', 'text': 'good balance'}, {'label': 'E', 'text': 'pedalling'}], 'stem': 'How is riding a bike getting it to move?'}",riding bike,How is riding a bike getting it to move?,"A: practice, B: sense of balance, C: driving, D: good balance, E: pedalling"
C,9c596382ea15768f95b5ef9ceec191dc,"{'question_concept': 'bell', 'choices': [{'label': 'A', 'text': 'run away'}, {'label': 'B', 'text': 'wind instrument'}, {'label': 'C', 'text': 'funnel'}, {'label': 'D', 'text': 'blunderbuss'}, {'label': 'E', 'text': 'associated with telephones'}], 'stem': 'The bell rang, and the congregation began to what in to the church?'}",bell,"The bell rang, and the congregation began to what in to the church?","A: run away, B: wind instrument, C: funnel, D: blunderbuss, E: associated with telephones"
C,abb090bbc572be1016bcd5f261f28e76,"{'question_concept': 'living', 'choices': [{'label': 'A', 'text': 'death'}, {'label': 'B', 'text': 'flying'}, {'label': 'C', 'text': 'reproducing'}, {'label': 'D', 'text': 'food consumed'}, {'label': 'E', 'text': 'eventually die'}], 'stem': ""What must happen for an animal to and it's offspring to continue livng?""}",living,What must happen for an animal to and it's offspring to continue livng?,"A: death, B: flying, C: reproducing, D: food consumed, E: eventually die"
C,a7f423c1636ba9e36d18e381928c5dcc,"{'question_concept': 'play', 'choices': [{'label': 'A', 'text': 'serious'}, {'label': 'B', 'text': 'longplay'}, {'label': 'C', 'text': 'musical'}, {'label': 'D', 'text': 'eat cake'}, {'label': 'E', 'text': 'doing nothing'}], 'stem': ""Sarah didn't like to play but she didn't want to be sedentary and bored, either, so she took up what?""}",play,"Sarah didn't like to play but she didn't want to be sedentary and bored, either, so she took up what?","A: serious, B: longplay, C: musical, D: eat cake, E: doing nothing"
A,53e1e50d204f6ad5a0f69429eadae82e,"{'question_concept': 'date', 'choices': [{'label': 'A', 'text': 'wait for'}, {'label': 'B', 'text': 'bathe'}, {'label': 'C', 'text': 'go for haircut'}, {'label': 'D', 'text': 'plan revenge'}, {'label': 'E', 'text': 'dress nice'}], 'stem': 'What would you do if your date does not show up?'}",date,What would you do if your date does not show up?,"A: wait for, B: bathe, C: go for haircut, D: plan revenge, E: dress nice"
B,48205cc84aab5e455b22e17c3cc7277d,"{'question_concept': 'adult', 'choices': [{'label': 'A', 'text': 'work'}, {'label': 'B', 'text': 'dress himself'}, {'label': 'C', 'text': 'marry'}, {'label': 'D', 'text': 'dress herself'}, {'label': 'E', 'text': 'drive train'}], 'stem': 'What did the adult do before the job interview?'}",adult,What did the adult do before the job interview?,"A: work, B: dress himself, C: marry, D: dress herself, E: drive train"
C,78d1218aeff70a70904767349e3c4c53,"{'question_concept': 'sun', 'choices': [{'label': 'A', 'text': 'dry clothes'}, {'label': 'B', 'text': 'warm house'}, {'label': 'C', 'text': 'warm room'}, {'label': 'D', 'text': 'shine brightly'}, {'label': 'E', 'text': 'get dark'}], 'stem': 'Brawn opened the curtains so that the sun could do what?'}",sun,Brawn opened the curtains so that the sun could do what?,"A: dry clothes, B: warm house, C: warm room, D: shine brightly, E: get dark"
B,cce13a32fedb997c017d3fac87c34912,"{'question_concept': 'releasing energy', 'choices': [{'label': 'A', 'text': 'damage'}, {'label': 'B', 'text': 'wonderful'}, {'label': 'C', 'text': 'exhaustion'}, {'label': 'D', 'text': 'orgasm'}, {'label': 'E', 'text': 'lazy'}], 'stem': 'How might releasing energy that has built up feel?'}",releasing energy,How might releasing energy that has built up feel?,"A: damage, B: wonderful, C: exhaustion, D: orgasm, E: lazy"
B,6714487b839f648e348ac972ed114af3,"{'question_concept': 'curiosity', 'choices': [{'label': 'A', 'text': 'hear news'}, {'label': 'B', 'text': 'analyse'}, {'label': 'C', 'text': 'go somewhere'}, {'label': 'D', 'text': 'examine thing'}, {'label': 'E', 'text': 'see favorite show'}], 'stem': 'What would you do if you have curiosity but are blind and paralyzed?'}",curiosity,What would you do if you have curiosity but are blind and paralyzed?,"A: hear news, B: analyse, C: go somewhere, D: examine thing, E: see favorite show"
D,9f830faa0f8e3d7fb3a658c15a5fbe63,"{'question_concept': 'attending school', 'choices': [{'label': 'A', 'text': 'detention'}, {'label': 'B', 'text': 'graduate'}, {'label': 'C', 'text': 'follower'}, {'label': 'D', 'text': 'inspiration'}, {'label': 'E', 'text': 'boredom'}], 'stem': 'A great teacher can be what when you are attending school?'}",attending school,A great teacher can be what when you are attending school?,"A: detention, B: graduate, C: follower, D: inspiration, E: boredom"
E,7a900bc3a373806b6c56f0e19534005f,"{'question_concept': 'question', 'choices': [{'label': 'A', 'text': 'express information'}, {'label': 'B', 'text': 'touch everything'}, {'label': 'C', 'text': 'think'}, {'label': 'D', 'text': 'give clue'}, {'label': 'E', 'text': 'analyse'}], 'stem': 'What would you do to a crime scene before asking a question?'}",question,What would you do to a crime scene before asking a question?,"A: express information, B: touch everything, C: think, D: give clue, E: analyse"
C,b7091d2bfcea421d787ce9e7982f104a,"{'question_concept': 'run', 'choices': [{'label': 'A', 'text': 'frightened'}, {'label': 'B', 'text': 'run up stairs'}, {'label': 'C', 'text': 'get away from'}, {'label': 'D', 'text': 'go quickly'}, {'label': 'E', 'text': 'go faster'}], 'stem': 'In a horror movie victims usually trip when the run in order to do what in regards to the killer?'}",run,In a horror movie victims usually trip when the run in order to do what in regards to the killer?,"A: frightened, B: run up stairs, C: get away from, D: go quickly, E: go faster"
B,d060ab71d0efff3cab5960089a6bb3a2,"{'question_concept': 'change', 'choices': [{'label': 'A', 'text': 'stagnant'}, {'label': 'B', 'text': 'stagnation'}, {'label': 'C', 'text': 'tradition'}, {'label': 'D', 'text': 'hunger'}, {'label': 'E', 'text': 'paper money'}], 'stem': ""The coach decided to make a lineup change, the team's effort was suffering from what?""}",change,"The coach decided to make a lineup change, the team's effort was suffering from what?","A: stagnant, B: stagnation, C: tradition, D: hunger, E: paper money"
A,1a4e83b433620cb2d7d806882f8d57e4,"{'question_concept': 'mental illness', 'choices': [{'label': 'A', 'text': 'managed'}, {'label': 'B', 'text': 'effectively treated'}, {'label': 'C', 'text': 'recur'}, {'label': 'D', 'text': 'cause delusion'}, {'label': 'E', 'text': 'illusion'}], 'stem': 'What is it called when a person with mental illness is able to lead a relatively normal life?'}",mental illness,What is it called when a person with mental illness is able to lead a relatively normal life?,"A: managed, B: effectively treated, C: recur, D: cause delusion, E: illusion"
E,7490aa460f66000555a8a94008179cbb,"{'question_concept': 'watching television', 'choices': [{'label': 'A', 'text': 'entertainment'}, {'label': 'B', 'text': 'falling asleep'}, {'label': 'C', 'text': 'getting fat'}, {'label': 'D', 'text': 'crying'}, {'label': 'E', 'text': 'relaxation'}], 'stem': 'The woman is watching television and trying to forget her day, what is her goal?'}",watching television,"The woman is watching television and trying to forget her day, what is her goal?","A: entertainment, B: falling asleep, C: getting fat, D: crying, E: relaxation"
D,64d2310eff6b661baeb41b4ccc392e35,"{'question_concept': 'run', 'choices': [{'label': 'A', 'text': 'stretches'}, {'label': 'B', 'text': 'running from police'}, {'label': 'C', 'text': 'learn to walk'}, {'label': 'D', 'text': 'go quickly'}, {'label': 'E', 'text': 'get out of bed'}], 'stem': 'When we are running what are we doing?'}",run,When we are running what are we doing?,"A: stretches, B: running from police, C: learn to walk, D: go quickly, E: get out of bed"
D,6c70d98cfb8e97fda8caefcee761a229,"{'question_concept': 'answering questions', 'choices': [{'label': 'A', 'text': 'panic'}, {'label': 'B', 'text': 'discussion'}, {'label': 'C', 'text': 'attention'}, {'label': 'D', 'text': 'confusion'}, {'label': 'E', 'text': 'satisfaction'}], 'stem': ""Zane doesn't like answering questions.  He's not good at it because he suffers from what?""}",answering questions,Zane doesn't like answering questions.  He's not good at it because he suffers from what?,"A: panic, B: discussion, C: attention, D: confusion, E: satisfaction"
A,75ac594b4fdbfba006e61315d1b2c815,"{'question_concept': 'going public', 'choices': [{'label': 'A', 'text': 'wide acceptance'}, {'label': 'B', 'text': 'a degree'}, {'label': 'C', 'text': 'pain'}, {'label': 'D', 'text': 'getting high'}, {'label': 'E', 'text': 'press coverage'}], 'stem': 'Going public about a common problem can gain what for a celebrity?'}",going public,Going public about a common problem can gain what for a celebrity?,"A: wide acceptance, B: a degree, C: pain, D: getting high, E: press coverage"
A,cc917ca0e03c91a5141920f5a902a36c,"{'question_concept': 'christmas', 'choices': [{'label': 'A', 'text': 'halloween'}, {'label': 'B', 'text': 'summer'}, {'label': 'C', 'text': 'easter'}, {'label': 'D', 'text': 'kwaanza'}, {'label': 'E', 'text': 'give gift'}], 'stem': 'If it is Chrismas time what came most recently before?'}",christmas,If it is Chrismas time what came most recently before?,"A: halloween, B: summer, C: easter, D: kwaanza, E: give gift"
E,e71da9e95b321763c86e879a47bbd327,"{'question_concept': 'must', 'choices': [{'label': 'A', 'text': 'willing'}, {'label': 'B', 'text': 'optional'}, {'label': 'C', 'text': 'should not'}, {'label': 'D', 'text': 'have to'}, {'label': 'E', 'text': 'unnecessary'}], 'stem': 'The criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?'}",must,"The criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?","A: willing, B: optional, C: should not, D: have to, E: unnecessary"
E,d312741df1b14bcbe358f4f30aff3994,"{'question_concept': 'shock', 'choices': [{'label': 'A', 'text': 'expected'}, {'label': 'B', 'text': 'wanting'}, {'label': 'C', 'text': 'calm'}, {'label': 'D', 'text': 'thundershock'}, {'label': 'E', 'text': 'surprised'}], 'stem': 'He walked into the room and had a great shock, his friends had what him?'}",shock,"He walked into the room and had a great shock, his friends had what him?","A: expected, B: wanting, C: calm, D: thundershock, E: surprised"
E,0df3f58645b4bc306093845fb297a50e,"{'question_concept': 'meet friend', 'choices': [{'label': 'A', 'text': 'have sex'}, {'label': 'B', 'text': 'smile'}, {'label': 'C', 'text': 'hug each other'}, {'label': 'D', 'text': 'conversation'}, {'label': 'E', 'text': 'handshake'}], 'stem': ""He wasn't the hugging type, even when he meet friend he'd just do what?""}",meet friend,"He wasn't the hugging type, even when he meet friend he'd just do what?","A: have sex, B: smile, C: hug each other, D: conversation, E: handshake"
A,f13efb91090dd28fd2b3c1f4dde680fd,"{'question_concept': 'communicating', 'choices': [{'label': 'A', 'text': 'exchanging ideas'}, {'label': 'B', 'text': 'confusion'}, {'label': 'C', 'text': 'peer pressure'}, {'label': 'D', 'text': 'response'}, {'label': 'E', 'text': 'learning'}], 'stem': 'Sage loved communicating  He liked doing what with his peers?'}",communicating,Sage loved communicating  He liked doing what with his peers?,"A: exchanging ideas, B: confusion, C: peer pressure, D: response, E: learning"
C,4ef3d70648ee3cea028bc5ed0fdfda28,"{'question_concept': 'eating breakfast in bed', 'choices': [{'label': 'A', 'text': 'mess'}, {'label': 'B', 'text': 'hungry'}, {'label': 'C', 'text': 'feel guilty'}, {'label': 'D', 'text': 'indigestion'}, {'label': 'E', 'text': 'spills'}], 'stem': 'Eating breakfast in bed while seeing a homeless person shivering outside your window may cause you to what?'}",eating breakfast in bed,Eating breakfast in bed while seeing a homeless person shivering outside your window may cause you to what?,"A: mess, B: hungry, C: feel guilty, D: indigestion, E: spills"
A,63f7ad481a63fc8c6dffe00519d4a167,"{'question_concept': 'reading newspaper', 'choices': [{'label': 'A', 'text': 'learning about world'}, {'label': 'B', 'text': 'education'}, {'label': 'C', 'text': 'get angry'}, {'label': 'D', 'text': 'concern'}, {'label': 'E', 'text': 'eat cake'}], 'stem': ""If you're reading a newspaper from another country what are you doing?""}",reading newspaper,If you're reading a newspaper from another country what are you doing?,"A: learning about world, B: education, C: get angry, D: concern, E: eat cake"
A,a2daf73d33541af0846673afd8e49abe,"{'question_concept': 'name', 'choices': [{'label': 'A', 'text': 'certificate'}, {'label': 'B', 'text': 'directory'}, {'label': 'C', 'text': 'phone book'}, {'label': 'D', 'text': 'lineup'}, {'label': 'E', 'text': 'roster'}], 'stem': 'They wanted to recognize his accomplishment, where should they put his name?'}",name,"They wanted to recognize his accomplishment, where should they put his name?","A: certificate, B: directory, C: phone book, D: lineup, E: roster"
A,7d70208061ae3185bcfc9e912ee9e141,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'procrastinate'}, {'label': 'B', 'text': 'complete collection'}, {'label': 'C', 'text': 'headache'}, {'label': 'D', 'text': 'good time management'}, {'label': 'E', 'text': 'have to hold'}], 'stem': 'What is it called when a person tends to leave things to the last minute?'}",person,What is it called when a person tends to leave things to the last minute?,"A: procrastinate, B: complete collection, C: headache, D: good time management, E: have to hold"
C,9003c4748b08d5a734747e499599ff20,"{'question_concept': 'settle', 'choices': [{'label': 'A', 'text': 'walk'}, {'label': 'B', 'text': 'agitate'}, {'label': 'C', 'text': 'wander'}, {'label': 'D', 'text': 'remove'}, {'label': 'E', 'text': 'disturb'}], 'stem': 'What will you do if you do not want to settle in one place?'}",settle,What will you do if you do not want to settle in one place?,"A: walk, B: agitate, C: wander, D: remove, E: disturb"
B,95a85df48902d23eb3fda25a99fca1a0,"{'question_concept': 'love', 'choices': [{'label': 'A', 'text': 'take oath'}, {'label': 'B', 'text': 'procreate'}, {'label': 'C', 'text': 'matrimony'}, {'label': 'D', 'text': 'please parents'}, {'label': 'E', 'text': 'live life'}], 'stem': 'What is it called when two people in love have children?'}",love,What is it called when two people in love have children?,"A: take oath, B: procreate, C: matrimony, D: please parents, E: live life"
E,79c3378b7660d328902d7c0ad442a37f,"{'question_concept': 'policemen', 'choices': [{'label': 'A', 'text': 'run away'}, {'label': 'B', 'text': 'hurry along'}, {'label': 'C', 'text': 'fine motorists'}, {'label': 'D', 'text': 'direct traffic'}, {'label': 'E', 'text': 'help'}], 'stem': 'What did the policemen do when they heard a cry from a distance?'}",policemen,What did the policemen do when they heard a cry from a distance?,"A: run away, B: hurry along, C: fine motorists, D: direct traffic, E: help"
B,8c12e5864463cfcd03f4d0ab67949d01,"{'question_concept': 'ambition', 'choices': [{'label': 'A', 'text': 'take care of proposals'}, {'label': 'B', 'text': 'begin work'}, {'label': 'C', 'text': 'in charge of project'}, {'label': 'D', 'text': 'eat cake'}, {'label': 'E', 'text': 'go to school'}], 'stem': 'It takes ambition to complete a job, but the first step is to what?'}",ambition,"It takes ambition to complete a job, but the first step is to what?","A: take care of proposals, B: begin work, C: in charge of project, D: eat cake, E: go to school"
