iIndex,lAlignments,lEquations,lSolutions,sQuestion
47,"[32, 58, 96]",['X=((6.0+9.0)-11.0)'],[4.0]," While on vacation, Rachel took 6 pictures at the zoo and 9 at the museum. If she later deleted 11 of the pictures, how many pictures from her vacation did she still have? "
51,"[9, 28, 78]",['X=((26.0+36.0)-48.0)'],[14.0]," Amy had 26 music files and 36 video files on her flash drive. If she deleted 48 of the files, how many files were still on her flash drive? "
54,"[11, 32, 82]",['X=((43.0+12.0)-44.0)'],[11.0]," Paige had 43 math problems and 12 science problems for homework. If she finished 44 of the problems at school, how many problems did she have to do for homework? "
57,"[32, 58, 96]",['X=((6.0+9.0)-11.0)'],[4.0]," While on vacation, Rachel took 6 pictures at the zoo and 9 at the museum. If she later deleted 11 of the pictures, how many pictures from her vacation did she still have? "
60,"[14, 27, 78]",['X=((4.0+11.0)-11.0)'],[4.0]," Janet picked 4 tulips and 11 roses to make flower bouquets. If she only used 11 of the flowers though, how many extra flowers did Janet pick? "
61,"[13, 32, 82]",['X=((13.0+30.0)-10.0)'],[33.0]," Vanessa had 13 music files and 30 video files on her flash drive. If she deleted 10 of the files, how many files were still on her flash drive? "
62,"[42, 72, 115]",['X=((16.0+40.0)-33.0)'],[23.0], Debby bought two coloring books. One had 16 pictures and the other had 40. After one week she had already colored 33 of the pictures. How many pictures does she still have to color? 
71,"[31, 58, 96]",['X=((50.0+8.0)-38.0)'],[20.0]," While on vacation, Haley took 50 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation did she still have? "
73,"[30, 50, 90]",['X=((35.0+21.0)-34.0)'],[22.0]," While shopping, Maria bought 35 green towels and 21 white towels. If she gave her mother 34 of them, how many towels did Maria end up with? "
78,"[13, 32, 82]",['X=((16.0+48.0)-30.0)'],[34.0]," Vanessa had 16 music files and 48 video files on her flash drive. If she deleted 30 of the files, how many files were still on her flash drive? "
81,"[15, 29, 80]",['X=((39.0+49.0)-81.0)'],[7.0]," Bianca picked 39 tulips and 49 roses to make flower bouquets. If she only used 81 of the flowers though, how many extra flowers did Bianca pick? "
82,"[31, 58, 96]",['X=((49.0+8.0)-38.0)'],[19.0]," While on vacation, Nancy took 49 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation did she still have? "
83,"[10, 31, 81]",['X=((18.0+11.0)-24.0)'],[5.0]," Gwen had 18 math problems and 11 science problems for homework. If she finished 24 of the problems at school, how many problems did she have to do for homework? "
87,"[11, 30, 80]",['X=((27.0+42.0)-11.0)'],[58.0]," Haley had 27 music files and 42 video files on her flash drive. If she deleted 11 of the files, how many files were still on her flash drive? "
88,"[30, 50, 90]",['X=((40.0+44.0)-65.0)'],[19.0]," While shopping, Maria bought 40 green towels and 44 white towels. If she gave her mother 65 of them, how many towels did Maria end up with? "
92,"[43, 73, 116]",['X=((24.0+39.0)-4.0)'],[59.0], Rachel bought two coloring books. One had 24 pictures and the other had 39. After one week she had already colored 4 of the pictures. How many pictures does she still have to color? 
93,"[30, 49, 89]",['X=((5.0+30.0)-26.0)'],[9.0]," While shopping, Emily bought 5 green towels and 30 white towels. If she gave her mother 26 of them, how many towels did Emily end up with? "
105,"[15, 70, 37]",['X=((37.0+19.0)-16.0)'],[40.0]," A florist had 37 roses. If she sold 16 of them and then later picked 19 more, how many roses would she have? "
111,"[11, 88, 53]",['X=((8.0+30.0)-5.0)'],[33.0]," Paige had 8 songs on her mp3 player. If she deleted 5 old songs from it and then added 30 new songs, how many songs does she have on her mp3 player? "
122,"[10, 73, 46]",['X=((34.0+48.0)-3.0)'],[79.0]," Faye had 34 coloring books. If she gave away 3 of them, but then bought 48 more, how many would she have total? "
123,"[11, 89, 54]",['X=((11.0+8.0)-9.0)'],[10.0]," Paige had 11 songs on her mp3 player. If she deleted 9 old songs from it and then added 8 new songs, how many songs does she have on her mp3 player? "
130,"[12, 75, 48]",['X=((45.0+20.0)-6.0)'],[59.0]," Bianca had 45 coloring books. If she gave away 6 of them, but then bought 20 more, how many would she have total? "
131,"[9, 87, 52]",['X=((15.0+50.0)-8.0)'],[57.0]," Zoe had 15 songs on her mp3 player. If she deleted 8 old songs from it and then added 50 new songs, how many songs does she have on her mp3 player? "
140,"[15, 68, 36]",['X=((6.0+12.0)-5.0)'],[13.0]," A florist had 6 roses. If she sold 5 of them and then later picked 12 more, how many roses would she have? "
151,"[11, 85, 59]",['X=((14.0+45.0)-8.0)'],[51.0]," Maria had 14 bottles of water in her fridge. If she drank 8 of them and then bought 45 more, how many bottles would she have? "
154,"[11, 73, 46]",['X=((7.0+14.0)-2.0)'],[19.0]," Emily had 7 coloring books. If she gave away 2 of them, but then bought 14 more, how many would she have total? "
156,"[11, 89, 54]",['X=((30.0+10.0)-8.0)'],[32.0]," Robin had 30 songs on her mp3 player. If she deleted 8 old songs from it and then added 10 new songs, how many songs does she have on her mp3 player? "
164,"[12, 91, 55]",['X=((34.0+44.0)-14.0)'],[64.0]," Bianca had 34 songs on her mp3 player. If she deleted 14 old songs from it and then added 44 new songs, how many songs does she have on her mp3 player? "
171,"[9, 84, 57]",['X=((42.0+30.0)-25.0)'],[47.0]," Zoe had 42 bottles of water in her fridge. If she drank 25 of them and then bought 30 more, how many bottles would she have? "
172,"[11, 89, 54]",['X=((11.0+24.0)-7.0)'],[28.0]," Katie had 11 songs on her mp3 player. If she deleted 7 old songs from it and then added 24 new songs, how many songs does she have on her mp3 player? "
177,"[15, 69, 37]",['X=((11.0+32.0)-2.0)'],[41.0]," A florist had 11 roses. If she sold 2 of them and then later picked 32 more, how many roses would she have? "
182,"[11, 74, 47]",['X=((30.0+35.0)-7.0)'],[58.0]," Debby had 30 coloring books. If she gave away 7 of them, but then bought 35 more, how many would she have total? "
185,"[15, 70, 37]",['X=((50.0+21.0)-15.0)'],[56.0]," A florist had 50 roses. If she sold 15 of them and then later picked 21 more, how many roses would she have? "
186,"[9, 86, 51]",['X=((6.0+20.0)-3.0)'],[23.0]," Zoe had 6 songs on her mp3 player. If she deleted 3 old songs from it and then added 20 new songs, how many songs does she have on her mp3 player? "
196,"[15, 68, 36]",['X=((5.0+34.0)-3.0)'],[36.0]," A florist had 5 roses. If she sold 3 of them and then later picked 34 more, how many roses would she have? "
201,"[62, 113, 127]",['X=(4.0*(2.0+6.0))'],[32.0], Chloe was unboxing some of her old winter clothes. She found 4 boxes of clothing and inside each box there were 2 scarves and 6 mittens. How many pieces of winter clothing did Chloe have total? 
204,"[87, 12, 41]",['X=(5.0*(2.0+4.0))'],[30.0]," Isabel had 2 pages of math homework and 4 pages of reading homework. If each page had 5 problems on it, how many problems did she have to complete total? "
209,"[81, 107, 138]",['X=(9.0*(6.0+2.0))'],[72.0]," Rachel was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 6 shelves of mystery books and 2 shelves of picture books, how many books did she have total? "
210,"[63, 114, 128]",['X=(7.0*(3.0+4.0))'],[49.0], Rachel was unboxing some of her old winter clothes. She found 7 boxes of clothing and inside each box there were 3 scarves and 4 mittens. How many pieces of winter clothing did Rachel have total? 
219,"[86, 11, 40]",['X=(9.0*(7.0+3.0))'],[90.0]," Katie had 7 pages of math homework and 3 pages of reading homework. If each page had 9 problems on it, how many problems did she have to complete total? "
221,"[79, 105, 136]",['X=(9.0*(3.0+5.0))'],[72.0]," Gwen was organizing her book case making sure each of the shelves had exactly 9 books on it. If she had 3 shelves of mystery books and 5 shelves of picture books, how many books did she have total? "
225,"[62, 113, 127]",['X=(6.0*(5.0+5.0))'],[60.0], Paige was unboxing some of her old winter clothes. She found 6 boxes of clothing and inside each box there were 5 scarves and 5 mittens. How many pieces of winter clothing did Paige have total? 
231,"[125, 47, 68]",['X=(7.0*(2.0+8.0))'],[70.0]," While shopping for music online, Megan bought 2 country albums and 8 pop albums. Each album came with a lyric sheet and had 7 songs. How many songs did Megan buy total? "
245,"[80, 106, 137]",['X=(6.0*(5.0+4.0))'],[54.0]," Chloe was organizing her book case making sure each of the shelves had exactly 6 books on it. If she had 5 shelves of mystery books and 4 shelves of picture books, how many books did she have total? "
246,"[126, 48, 69]",['X=(9.0*(6.0+2.0))'],[72.0]," While shopping for music online, Isabel bought 6 country albums and 2 pop albums. Each album came with a lyric sheet and had 9 songs. How many songs did Isabel buy total? "
248,"[88, 13, 42]",['X=(3.0*(6.0+4.0))'],[30.0]," Tiffany had 6 pages of math homework and 4 pages of reading homework. If each page had 3 problems on it, how many problems did she have to complete total? "
250,"[60, 111, 125]",['X=(8.0*(4.0+6.0))'],[80.0], Zoe was unboxing some of her old winter clothes. She found 8 boxes of clothing and inside each box there were 4 scarves and 6 mittens. How many pieces of winter clothing did Zoe have total? 
256,"[79, 105, 136]",['X=(4.0*(5.0+3.0))'],[32.0]," Gwen was organizing her book case making sure each of the shelves had exactly 4 books on it. If she had 5 shelves of mystery books and 3 shelves of picture books, how many books did she have total? "
257,"[126, 48, 69]",['X=(8.0*(4.0+5.0))'],[72.0]," While shopping for music online, Isabel bought 4 country albums and 5 pop albums. Each album came with a lyric sheet and had 8 songs. How many songs did Isabel buy total? "
266,"[123, 45, 66]",['X=(3.0*(3.0+5.0))'],[24.0]," While shopping for music online, Zoe bought 3 country albums and 5 pop albums. Each album came with a lyric sheet and had 3 songs. How many songs did Zoe buy total? "
267,"[80, 106, 137]",['X=(7.0*(8.0+2.0))'],[70.0]," Megan was organizing her book case making sure each of the shelves had exactly 7 books on it. If she had 8 shelves of mystery books and 2 shelves of picture books, how many books did she have total? "
276,"[81, 107, 138]",['X=(8.0*(5.0+4.0))'],[72.0]," Bianca was organizing her book case making sure each of the shelves had exactly 8 books on it. If she had 5 shelves of mystery books and 4 shelves of picture books, how many books did she have total? "
279,"[125, 47, 68]",['X=(8.0*(3.0+5.0))'],[64.0]," While shopping for music online, Nancy bought 3 country albums and 5 pop albums. Each album came with a lyric sheet and had 8 songs. How many songs did Nancy buy total? "
280,"[61, 112, 126]",['X=(3.0*(3.0+4.0))'],[21.0], Lana was unboxing some of her old winter clothes. She found 3 boxes of clothing and inside each box there were 3 scarves and 4 mittens. How many pieces of winter clothing did Lana have total? 
287,"[137, 80, 106]",['X=(6.0*(6.0+2.0))'],[48.0]," Nancy was organizing her book case making sure each of the shelves had exactly 6 books on it. If she had 2 shelves of mystery books and 6 shelves of picture books, how many books did she have total? "
288,"[124, 46, 67]",['X=(6.0*(2.0+3.0))'],[30.0]," While shopping for music online, Faye bought 2 country albums and 3 pop albums. Each album came with a lyric sheet and had 6 songs. How many songs did Faye buy total? "
291,"[61, 112, 126]",['X=(4.0*(2.0+6.0))'],[32.0], Lana was unboxing some of her old winter clothes. She found 4 boxes of clothing and inside each box there were 2 scarves and 6 mittens. How many pieces of winter clothing did Lana have total? 
293,"[86, 11, 40]",['X=(4.0*(4.0+6.0))'],[40.0]," Sarah had 4 pages of math homework and 6 pages of reading homework. If each page had 4 problems on it, how many problems did she have to complete total? "
299,"[125, 47, 68]",['X=(9.0*(6.0+2.0))'],[72.0]," While shopping for music online, Janet bought 6 country albums and 2 pop albums. Each album came with a lyric sheet and had 9 songs. How many songs did Janet buy total? "
301,"[16, 47, 106]",['X=((35.0+5.0)/5.0)'],[8.0]," Robin uploaded 35 pictures from her phone and 5 from her camera to facebook. If she sorted the pics into 5 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
308,"[24, 45, 85]",['X=((17.0+15.0)/8.0)'],[4.0], For homework Nancy had 17 math problems and 15 spelling problems. If she can finish 8 problems in an hour how long will it take her to finish all the problems? 
309,"[83, 99, 57]",['X=((8.0+10.0)/3.0)'],[6.0]," Will was organizing his baseball cards in a binder with 3 on each page. If he had 8 new cards and 10 old cards to put in the binder, how many pages would he use? "
312,"[39, 56, 17]",['X=((7.0+47.0)/6.0)'],[9.0]," A vase can hold 6 flowers. If you had 7 carnations and 47 roses, how many vases would you need to hold the flowers? "
319,"[17, 47, 106]",['X=((2.0+4.0)/3.0)'],[2.0]," Isabel uploaded 2 pictures from her phone and 4 from her camera to facebook. If she sorted the pics into 3 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
323,"[16, 47, 106]",['X=((31.0+5.0)/9.0)'],[4.0]," Robin uploaded 31 pictures from her phone and 5 from her camera to facebook. If she sorted the pics into 9 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
335,"[18, 48, 108]",['X=((7.0+13.0)/5.0)'],[4.0]," Tiffany uploaded 7 pictures from her phone and 13 from her camera to facebook. If she sorted the pics into 5 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
340,"[83, 99, 57]",['X=((3.0+9.0)/3.0)'],[4.0]," Luke was organizing his baseball cards in a binder with 3 on each page. If he had 3 new cards and 9 old cards to put in the binder, how many pages would he use? "
342,"[17, 47, 107]",['X=((5.0+35.0)/8.0)'],[5.0]," Olivia uploaded 5 pictures from her phone and 35 from her camera to facebook. If she sorted the pics into 8 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
345,"[39, 56, 17]",['X=((6.0+19.0)/5.0)'],[5.0]," A vase can hold 5 flowers. If you had 6 carnations and 19 roses, how many vases would you need to hold the flowers? "
350,"[83, 99, 57]",['X=((3.0+9.0)/3.0)'],[4.0]," Luke was organizing his baseball cards in a binder with 3 on each page. If he had 3 new cards and 9 old cards to put in the binder, how many pages would he use? "
352,"[17, 47, 107]",['X=((5.0+35.0)/8.0)'],[5.0]," Olivia uploaded 5 pictures from her phone and 35 from her camera to facebook. If she sorted the pics into 8 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
355,"[39, 56, 17]",['X=((6.0+19.0)/5.0)'],[5.0]," A vase can hold 5 flowers. If you had 6 carnations and 19 roses, how many vases would you need to hold the flowers? "
361,"[23, 44, 83]",['X=((13.0+2.0)/3.0)'],[5.0], For homework Faye had 13 math problems and 2 spelling problems. If she can finish 3 problems in an hour how long will it take her to finish all the problems? 
365,"[85, 101, 59]",['X=((2.0+10.0)/3.0)'],[4.0]," Oliver was organizing his baseball cards in a binder with 3 on each page. If he had 2 new cards and 10 old cards to put in the binder, how many pages would he use? "
374,"[22, 43, 82]",['X=((18.0+6.0)/4.0)'],[6.0], For homework Amy had 18 math problems and 6 spelling problems. If she can finish 4 problems in an hour how long will it take her to finish all the problems? 
388,"[83, 99, 57]",['X=((8.0+16.0)/3.0)'],[8.0]," John was organizing his baseball cards in a binder with 3 on each page. If he had 8 new cards and 16 old cards to put in the binder, how many pages would he use? "
389,"[16, 47, 106]",['X=((22.0+2.0)/4.0)'],[6.0]," Wendy uploaded 22 pictures from her phone and 2 from her camera to facebook. If she sorted the pics into 4 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
392,"[84, 100, 58]",['X=((3.0+42.0)/5.0)'],[9.0]," Billy was organizing his baseball cards in a binder with 5 on each page. If he had 3 new cards and 42 old cards to put in the binder, how many pages would he use? "
396,"[16, 47, 107]",['X=((30.0+51.0)/9.0)'],[9.0]," Katie uploaded 30 pictures from her phone and 51 from her camera to facebook. If she sorted the pics into 9 different albums with the same amount of pics in each album, how many pictures were in each of the albums? "
400,"[92, 23, 69]",['X=(4.0*(14.0-5.0))'],[36.0]," A new building needed 14 windows. The builder had already installed 5 of them. If it takes 4 hours to install each window, how long will it take him to install the rest? "
406,"[107, 27, 67]",['X=(8.0*(10.0-8.0))'],[16.0]," A painter needed to paint 10 rooms in a building. Each room takes 8 hours to paint. If he already painted 8 rooms, how much longer will he take to paint the rest? "
415,"[92, 23, 69]",['X=(5.0*(10.0-6.0))'],[20.0]," A new building needed 10 windows. The builder had already installed 6 of them. If it takes 5 hours to install each window, how long will it take him to install the rest? "
419,"[67, 27, 107]",['X=(7.0*(12.0-5.0))'],[49.0]," A painter needed to paint 12 rooms in a building. Each room takes 7 hours to paint. If he already painted 5 rooms, how much longer will he take to paint the rest? "
430,"[91, 23, 68]",['X=(6.0*(9.0-6.0))'],[18.0]," A new building needed 9 windows. The builder had already installed 6 of them. If it takes 6 hours to install each window, how long will it take him to install the rest? "
434,"[66, 27, 106]",['X=(8.0*(9.0-5.0))'],[32.0]," A painter needed to paint 9 rooms in a building. Each room takes 8 hours to paint. If he already painted 5 rooms, how much longer will he take to paint the rest? "
443,"[67, 27, 107]",['X=(3.0*(12.0-4.0))'],[24.0]," A painter needed to paint 12 rooms in a building. Each room takes 3 hours to paint. If he already painted 4 rooms, how much longer will he take to paint the rest? "
450,"[92, 23, 69]",['X=(8.0*(14.0-8.0))'],[48.0]," A new building needed 14 windows. The builder had already installed 8 of them. If it takes 8 hours to install each window, how long will it take him to install the rest? "
457,"[67, 27, 107]",['X=(7.0*(11.0-2.0))'],[63.0]," A painter needed to paint 11 rooms in a building. Each room takes 7 hours to paint. If he already painted 2 rooms, how much longer will he take to paint the rest? "
464,"[66, 27, 106]",['X=(5.0*(6.0-2.0))'],[20.0]," A painter needed to paint 6 rooms in a building. Each room takes 5 hours to paint. If he already painted 2 rooms, how much longer will he take to paint the rest? "
467,"[92, 23, 69]",['X=(4.0*(12.0-6.0))'],[24.0]," A new building needed 12 windows. The builder had already installed 6 of them. If it takes 4 hours to install each window, how long will it take him to install the rest? "
480,"[92, 23, 69]",['X=(8.0*(11.0-4.0))'],[56.0]," A new building needed 11 windows. The builder had already installed 4 of them. If it takes 8 hours to install each window, how long will it take him to install the rest? "
505,"[11, 49, 95]",['X=((93.0-21.0)/8.0)'],[9.0], Megan had 93 files on her computer. She deleted 21 of them and put the rest into folders with 8 files in each one. How many folders did Megan end up with? 
506,"[16, 49, 94]",['X=((79.0-44.0)/5.0)'],[7.0], Wendy uploaded 79 pictures to Facebook. She put 44 pics into one album and put the rest into 5 different albums. How many pictures were in each album? 
507,"[12, 47, 72]",['X=((72.0-32.0)/5.0)'],[8.0]," Isabel had 72 homework problems. She finished 32 of them but still had 5 pages of problems to do. If each page has the same number of problems on it, how many problems are on each page? "
511,"[60, 108, 166]",['X=((46.0-10.0)/4.0)'],[9.0]," Oliver is at the library helping put away books. There are 46 book to put away total but a librarian takes 10 of them and leaves Oliver with the rest. If he can fit 4 books on a shelf, how many shelves will he need? "
512,"[63, 84, 150]",['X=((41.0-29.0)/4.0)'],[3.0], Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? 
517,"[15, 107, 81]",['X=((66.0-10.0)/8.0)'],[7.0]," Isabel picked 66 flowers for her friend’s wedding. She was making bouquets with 8 flowers in each one. If 10 of the flowers wilted before the wedding, how many bouquets could she still make? "
519,"[11, 49, 95]",['X=((80.0-31.0)/7.0)'],[7.0], Nancy had 80 files on her computer. She deleted 31 of them and put the rest into folders with 7 files in each one. How many folders did Nancy end up with? 
525,"[11, 46, 71]",['X=((40.0-26.0)/2.0)'],[7.0]," Megan had 40 homework problems. She finished 26 of them but still had 2 pages of problems to do. If each page has the same number of problems on it, how many problems are on each page? "
526,"[14, 107, 81]",['X=((103.0-47.0)/8.0)'],[7.0]," Wendy picked 103 flowers for her friend’s wedding. She was making bouquets with 8 flowers in each one. If 47 of the flowers wilted before the wedding, how many bouquets could she still make? "
529,"[58, 106, 162]",['X=((82.0-10.0)/9.0)'],[8.0]," Mike is at the library helping put away books. There are 82 book to put away total but a librarian takes 10 of them and leaves Mike with the rest. If he can fit 9 books on a shelf, how many shelves will he need? "
531,"[17, 50, 95]",['X=((33.0-27.0)/3.0)'],[2.0], Bianca uploaded 33 pictures to Facebook. She put 27 pics into one album and put the rest into 3 different albums. How many pictures were in each album? 
535,"[13, 95, 157]",['X=((40.0-20.0)/4.0)'],[5.0], A store had 40 coloring books in stock. They ended up putting them on sale and getting rid of 20 of them. The put the ones they still had onto shelves with 4 on each shelf. How many shelves did they use? 
538,"[59, 107, 163]",['X=((34.0-7.0)/3.0)'],[9.0]," Jerry is at the library helping put away books. There are 34 book to put away total but a librarian takes 7 of them and leaves Jerry with the rest. If he can fit 3 books on a shelf, how many shelves will he need? "
539,"[63, 84, 150]",['X=((52.0-28.0)/4.0)'],[6.0], Nancy was planting vegetables in her garden. She started with 52 seeds and planted 28 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Nancy have? 
541,"[64, 85, 151]",['X=((52.0-40.0)/2.0)'],[6.0], Bianca was planting vegetables in her garden. She started with 52 seeds and planted 40 of them in the big garden and in each of her small gardens put 2 seeds each. How many small gardens did Bianca have? 
546,"[13, 96, 158]",['X=((120.0-39.0)/9.0)'],[9.0], A store had 120 coloring books in stock. They ended up putting them on sale and getting rid of 39 of them. The put the ones they still had onto shelves with 9 on each shelf. How many shelves did they use? 
547,"[17, 50, 95]",['X=((25.0-10.0)/5.0)'],[3.0], Isabel uploaded 25 pictures to Facebook. She put 10 pics into one album and put the rest into 5 different albums. How many pictures were in each album? 
548,"[11, 46, 71]",['X=((60.0-20.0)/5.0)'],[8.0]," Sarah had 60 homework problems. She finished 20 of them but still had 5 pages of problems to do. If each page has the same number of problems on it, how many problems are on each page? "
552,"[63, 84, 150]",['X=((42.0-36.0)/2.0)'],[3.0], Emily was planting vegetables in her garden. She started with 42 seeds and planted 36 of them in the big garden and in each of her small gardens put 2 seeds each. How many small gardens did Emily have? 
556,"[16, 49, 94]",['X=((45.0-27.0)/9.0)'],[2.0], Wendy uploaded 45 pictures to Facebook. She put 27 pics into one album and put the rest into 9 different albums. How many pictures were in each album? 
557,"[13, 95, 157]",['X=((86.0-37.0)/7.0)'],[7.0], A store had 86 coloring books in stock. They ended up putting them on sale and getting rid of 37 of them. The put the ones they still had onto shelves with 7 on each shelf. How many shelves did they use? 
559,"[11, 47, 72]",['X=((101.0-47.0)/6.0)'],[9.0]," Nancy had 101 homework problems. She finished 47 of them but still had 6 pages of problems to do. If each page has the same number of problems on it, how many problems are on each page? "
560,"[11, 49, 94]",['X=((27.0-9.0)/6.0)'],[3.0], Paige had 27 files on her computer. She deleted 9 of them and put the rest into folders with 6 files in each one. How many folders did Paige end up with? 
563,"[16, 49, 94]",['X=((65.0-17.0)/6.0)'],[8.0], Haley uploaded 65 pictures to Facebook. She put 17 pics into one album and put the rest into 6 different albums. How many pictures were in each album? 
566,"[14, 106, 80]",['X=((45.0-35.0)/5.0)'],[2.0]," Wendy picked 45 flowers for her friend’s wedding. She was making bouquets with 5 flowers in each one. If 35 of the flowers wilted before the wedding, how many bouquets could she still make? "
568,"[11, 46, 70]",['X=((55.0-6.0)/7.0)'],[7.0]," Sarah had 55 homework problems. She finished 6 of them but still had 7 pages of problems to do. If each page has the same number of problems on it, how many problems are on each page? "
570,"[14, 106, 80]",['X=((53.0-18.0)/7.0)'],[5.0]," Paige picked 53 flowers for her friend’s wedding. She was making bouquets with 7 flowers in each one. If 18 of the flowers wilted before the wedding, how many bouquets could she still make? "
575,"[13, 95, 156]",['X=((27.0-6.0)/7.0)'],[3.0], A store had 27 coloring books in stock. They ended up putting them on sale and getting rid of 6 of them. The put the ones they still had onto shelves with 7 on each shelf. How many shelves did they use? 
576,"[11, 49, 95]",['X=((82.0-37.0)/5.0)'],[9.0], Wendy had 82 files on her computer. She deleted 37 of them and put the rest into folders with 5 files in each one. How many folders did Wendy end up with? 
578,"[63, 84, 150]",['X=((21.0-12.0)/3.0)'],[3.0], Sarah was planting vegetables in her garden. She started with 21 seeds and planted 12 of them in the big garden and in each of her small gardens put 3 seeds each. How many small gardens did Sarah have? 
579,"[16, 49, 94]",['X=((51.0-11.0)/8.0)'],[5.0], Nancy uploaded 51 pictures to Facebook. She put 11 pics into one album and put the rest into 8 different albums. How many pictures were in each album? 
583,"[63, 84, 150]",['X=((56.0-35.0)/3.0)'],[7.0], Haley was planting vegetables in her garden. She started with 56 seeds and planted 35 of them in the big garden and in each of her small gardens put 3 seeds each. How many small gardens did Haley have? 
584,"[13, 95, 157]",['X=((48.0-38.0)/5.0)'],[2.0], A store had 48 coloring books in stock. They ended up putting them on sale and getting rid of 38 of them. The put the ones they still had onto shelves with 5 on each shelf. How many shelves did they use? 
585,"[59, 107, 163]",['X=((14.0-2.0)/3.0)'],[4.0]," Roger is at the library helping put away books. There are 14 book to put away total but a librarian takes 2 of them and leaves Roger with the rest. If he can fit 3 books on a shelf, how many shelves will he need? "
594,"[11, 49, 95]",['X=((85.0-40.0)/5.0)'],[9.0], Katie had 85 files on her computer. She deleted 40 of them and put the rest into folders with 5 files in each one. How many folders did Katie end up with? 
599,"[16, 49, 94]",['X=((41.0-37.0)/2.0)'],[2.0], Nancy uploaded 41 pictures to Facebook. She put 37 pics into one album and put the rest into 2 different albums. How many pictures were in each album? 
0,"[80, 120, 136]",['X=((32.0+42.0)-35.0)'],[39.0]," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? "
1,"[17, 37, 75]",['X=((13.0+5.0)-10.0)'],[8.0], A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? 
3,"[30, 48, 98]",['X=((42.0+7.0)-9.0)'],[40.0]," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? "
5,"[72, 97, 109]",['X=((29.0+16.0)-38.0)'],[7.0]," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? "
9,"[17, 43, 102]",['X=((9.0+21.0)-29.0)'],[1.0]," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? "
10,"[20, 47, 106]",['X=((39.0+47.0)-20.0)'],[66.0]," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? "
11,"[57, 72, 107]",['X=((4.0+29.0)-24.0)'],[9.0], For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? 
17,"[64, 109, 147]",['X=((40.0+50.0)-4.0)'],[86.0], Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? 
19,"[74, 99, 111]",['X=((26.0+15.0)-16.0)'],[25.0]," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? "
20,"[57, 72, 106]",['X=((7.0+5.0)-8.0)'],[4.0], For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? 
25,"[17, 44, 103]",['X=((40.0+23.0)-29.0)'],[34.0]," Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? "
26,"[17, 37, 76]",['X=((12.0+20.0)-20.0)'],[12.0], A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? 
27,"[70, 95, 106]",['X=((23.0+5.0)-12.0)'],[16.0]," Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? "
28,"[30, 48, 99]",['X=((43.0+32.0)-2.0)'],[73.0]," The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? "
29,"[12, 25, 84]",['X=((39.0+4.0)-26.0)'],[17.0]," There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? "
30,"[17, 37, 76]",['X=((38.0+25.0)-45.0)'],[18.0], A pet store had 38 siamese cats and 25 house cats. During a sale they sold 45 cats. How many cats do they have left? 
31,"[57, 73, 107]",['X=((36.0+9.0)-4.0)'],[41.0], For the school bake sale Paige made pastries. She baked 36 cupcakes and 9 cookies. After the sale she had 4 to take back home. How many pastries did she sell? 
