input,target
"Take the last letters of each words in ""Axel Osvaldo Mildred Sylvia"" and concatenate them.",loda
"Take the last letters of each words in ""Margarita Anabel Shaun Celina"" and concatenate them.",alna
"Take the last letters of each words in ""Kennedy Ginny Iliana Sky"" and concatenate them.",yyay
"Take the last letters of each words in ""Nubia Sarah Jalen Kris"" and concatenate them.",ahns
"Take the last letters of each words in ""Camilo Becky Eliza Rebecca"" and concatenate them.",oyaa
"Take the last letters of each words in ""Isela Leslie Stacy Ingrid"" and concatenate them.",aeyd
"Take the last letters of each words in ""Alexandria Meghan Autumn Robert"" and concatenate them.",annt
"Take the last letters of each words in ""Jr Meredith Zoe Robby"" and concatenate them.",rhey
"Take the last letters of each words in ""Shari Bella Liza Maira"" and concatenate them.",iaaa
"Take the last letters of each words in ""Ashish Tracey Varun Emil"" and concatenate them.",hynl
"Take the last letters of each words in ""Marian Joanne Darrin Rohit"" and concatenate them.",nent
"Take the last letters of each words in ""Julieta Zachary Jared Tyson"" and concatenate them.",aydn
"Take the last letters of each words in ""Maura Selvin Tabitha Gino"" and concatenate them.",anao
"Take the last letters of each words in ""Rosendo Shayla Erica Georgia"" and concatenate them.",oaaa
"Take the last letters of each words in ""Lorena Shana Priscilla Summer"" and concatenate them.",aaar
"Take the last letters of each words in ""Noelle Byron Jane Darin"" and concatenate them.",enen
"Take the last letters of each words in ""Chava Rosalia Kurt Linda"" and concatenate them.",aata
"Take the last letters of each words in ""Michele Karan Abraham Ellen"" and concatenate them.",enmn
"Take the last letters of each words in ""Laila Audrey Glenn Rhonda"" and concatenate them.",ayna
"Take the last letters of each words in ""Regina Joel Justice Eli"" and concatenate them.",alei
"Take the last letters of each words in ""Janet Ant Vickie Elias"" and concatenate them.",ttes
"Take the last letters of each words in ""Carole William Tiffany Hilary"" and concatenate them.",emyy
"Take the last letters of each words in ""Angelique Marissa Phyllis Bonnie"" and concatenate them.",ease
"Take the last letters of each words in ""Liz Andrea Suresh Vera"" and concatenate them.",zaha
"Take the last letters of each words in ""Sally Sadie Christie Ellie"" and concatenate them.",yeee
"Take the last letters of each words in ""Victoria Aurora Amalia Princess"" and concatenate them.",aaas
"Take the last letters of each words in ""Carolyn Sasha Mercy Keri"" and concatenate them.",nayi
"Take the last letters of each words in ""Selena Keisha Gladys Cedric"" and concatenate them.",aasc
"Take the last letters of each words in ""Salma Pj Gladis Monica"" and concatenate them.",ajsa
"Take the last letters of each words in ""Letty Aimee Elvia Ted"" and concatenate them.",yead
"Take the last letters of each words in ""April Molly Maurice Jaclyn"" and concatenate them.",lyen
"Take the last letters of each words in ""Markus Kathryn Giovanna Kent"" and concatenate them.",snat
"Take the last letters of each words in ""Desmond Camille Joana Garcia"" and concatenate them.",deaa
"Take the last letters of each words in ""Kali Jeanette Tess Devin"" and concatenate them.",iesn
"Take the last letters of each words in ""Nabil Marlene Wendy Jillian"" and concatenate them.",leyn
"Take the last letters of each words in ""Dalila Emily Casey Clifford"" and concatenate them.",ayyd
"Take the last letters of each words in ""Madeline Mckenzie Louie Dylan"" and concatenate them.",eeen
"Take the last letters of each words in ""Anastasia Thelma Sheri Rosita"" and concatenate them.",aaia
"Take the last letters of each words in ""Sid Isabelle Jackson Heidy"" and concatenate them.",deny
"Take the last letters of each words in ""Margaret Rosi Willy Charlene"" and concatenate them.",tiye
"Take the last letters of each words in ""Carla Dolores Cooper Damion"" and concatenate them.",asrn
"Take the last letters of each words in ""Raven Marisela Ross Angie"" and concatenate them.",nase
"Take the last letters of each words in ""Jeff Jen Giselle Noel"" and concatenate them.",fnel
"Take the last letters of each words in ""Alina Alessandra Amina Bianca"" and concatenate them.",aaaa
"Take the last letters of each words in ""Altagracia Howard Patti Douglas"" and concatenate them.",adis
"Take the last letters of each words in ""Amy Ella Amilcar Roman"" and concatenate them.",yarn
"Take the last letters of each words in ""Bailey Lourdes Brianna Martín"" and concatenate them.",ysan
"Take the last letters of each words in ""Shannon Millie Rosemary Priyanka"" and concatenate them.",neya
"Take the last letters of each words in ""Clarissa Shauna Alexis Branden"" and concatenate them.",aasn
"Take the last letters of each words in ""Sonia Griffin Claude Josephine"" and concatenate them.",anee
"Take the last letters of each words in ""Denis Gigi Heather Ginger"" and concatenate them.",sirr
"Take the last letters of each words in ""Marshall Herman Faye Grant"" and concatenate them.",lnet
"Take the last letters of each words in ""Bernard Lidia Sebastian Judy"" and concatenate them.",dany
"Take the last letters of each words in ""Selina Tasha Jarrod Maddy"" and concatenate them.",aady
"Take the last letters of each words in ""Franklin Rochelle Brent Sarai"" and concatenate them.",neti
"Take the last letters of each words in ""Clinton Yanira Barbara Betsy"" and concatenate them.",naay
"Take the last letters of each words in ""Connie Elena Tami Stuart"" and concatenate them.",eait
"Take the last letters of each words in ""Gayle Doreen Chelsey Helena"" and concatenate them.",enya
"Take the last letters of each words in ""Janice Shelly Arnulfo Nestor"" and concatenate them.",eyor
"Take the last letters of each words in ""Peggy Trent Darrell Pamela"" and concatenate them.",ytla
"Take the last letters of each words in ""Yvonne Rafaela Jb Salomon"" and concatenate them.",eabn
"Take the last letters of each words in ""Suzanne Julissa Chino America"" and concatenate them.",eaoa
"Take the last letters of each words in ""Candy Megan Ed Nathan"" and concatenate them.",yndn
"Take the last letters of each words in ""Williams Reza Ashton Lillian"" and concatenate them.",sann
"Take the last letters of each words in ""Lacey Nora Debra Ashleigh"" and concatenate them.",yaah
"Take the last letters of each words in ""Ubaldo Katrina Francis Lynn"" and concatenate them.",oasn
"Take the last letters of each words in ""Lesley Luna Nadia Adriana"" and concatenate them.",yaaa
"Take the last letters of each words in ""Maureen Fabian Claudette Peyton"" and concatenate them.",nnen
"Take the last letters of each words in ""Gabby Reese Leah Celia"" and concatenate them.",yeha
"Take the last letters of each words in ""Ramona Lucy Gail Octavio"" and concatenate them.",aylo
"Take the last letters of each words in ""Sue Cassandra Cody Cali"" and concatenate them.",eayi
"Take the last letters of each words in ""Efren Rex Marilyn Emerson"" and concatenate them.",nxnn
"Take the last letters of each words in ""Lynda Danilo Jonny Judith"" and concatenate them.",aoyh
"Take the last letters of each words in ""Kelly Cheryl Nancy Jojo"" and concatenate them.",ylyo
"Take the last letters of each words in ""Carissa Paige Consuelo Izzy"" and concatenate them.",aeoy
"Take the last letters of each words in ""Rachel Alisa Fanny Jeffery"" and concatenate them.",layy
"Take the last letters of each words in ""Vicki Dwight Johnson Alexandra"" and concatenate them.",itna
"Take the last letters of each words in ""Emma Maryann Olga Nataly"" and concatenate them.",anay
"Take the last letters of each words in ""Elva Kari Shirley Gilberto"" and concatenate them.",aiyo
"Take the last letters of each words in ""Shawn Tracie Lynne Leila"" and concatenate them.",neea
"Take the last letters of each words in ""Norma Timothy Willie Mathew"" and concatenate them.",ayew
"Take the last letters of each words in ""Julia Kirsten Pam Adan"" and concatenate them.",anmn
"Take the last letters of each words in ""Teri Lina Mery Melanie"" and concatenate them.",iaye
"Take the last letters of each words in ""Kristine Van Marisol Preston"" and concatenate them.",enln
"Take the last letters of each words in ""Marcia Belen Reyna Britney"" and concatenate them.",anay
"Take the last letters of each words in ""Idalia Arnoldo Marla Duane"" and concatenate them.",aoae
"Take the last letters of each words in ""Leanne Lulu Lopez Jp"" and concatenate them.",euzp
"Take the last letters of each words in ""Roni Nikita Hannah Kiana"" and concatenate them.",iaha
"Take the last letters of each words in ""Teresa Reid Karin Gracie"" and concatenate them.",adne
"Take the last letters of each words in ""Luisa Tatiana Drake Hillary"" and concatenate them.",aaey
"Take the last letters of each words in ""Clark Jenn Diane Blair"" and concatenate them.",kner
"Take the last letters of each words in ""Bethany Rakesh Christine Dinesh"" and concatenate them.",yheh
"Take the last letters of each words in ""Nery Cindy Jess Chris"" and concatenate them.",yyss
"Take the last letters of each words in ""Miriam Brandy Bertha Renato"" and concatenate them.",myao
"Take the last letters of each words in ""Abel Mallory Theresa Quinn"" and concatenate them.",lyan
"Take the last letters of each words in ""Wally Claire Helen Nacho"" and concatenate them.",yeno
"Take the last letters of each words in ""Rosa Lana Curtis Rae"" and concatenate them.",aase
"Take the last letters of each words in ""Guille Lisa Harvey Gina"" and concatenate them.",eaya
"Take the last letters of each words in ""Renata Mariela Mona Kristin"" and concatenate them.",aaan
"Take the last letters of each words in ""Aj Jd Maddie Francisca"" and concatenate them.",jdea
"Take the last letters of each words in ""Elle Alex Irma Stephan"" and concatenate them.",exan
"Take the last letters of each words in ""Gabino Kayla Laurie Familia"" and concatenate them.",oaea
"Take the last letters of each words in ""Logan Ely Abbie Colleen"" and concatenate them.",nyen
"Take the last letters of each words in ""Kristy Brandi Lizeth Petra"" and concatenate them.",yiha
"Take the last letters of each words in ""Hazel Gabrielle Tre Dalton"" and concatenate them.",leen
"Take the last letters of each words in ""Sonya Eddy Carol Yung"" and concatenate them.",aylg
"Take the last letters of each words in ""Andy Cecilia Gretchen Sandi"" and concatenate them.",yani
"Take the last letters of each words in ""Flora Warren Gwendolyn Alissa"" and concatenate them.",anna
"Take the last letters of each words in ""Ace Rosy Kimberly Jean"" and concatenate them.",eyyn
"Take the last letters of each words in ""Yessenia Geraldine Minerva Tanya"" and concatenate them.",aeaa
"Take the last letters of each words in ""Brandon Ivonne Jefferson Isabella"" and concatenate them.",nena
"Take the last letters of each words in ""Barbie Desiree Yaneth Dre"" and concatenate them.",eehe
"Take the last letters of each words in ""Bri Roger Eve Diana"" and concatenate them.",irea
"Take the last letters of each words in ""Constance Nicholas Will Love"" and concatenate them.",esle
"Take the last letters of each words in ""Mercedes Adela Susana Rose"" and concatenate them.",saae
"Take the last letters of each words in ""Mabel Estela Irene May"" and concatenate them.",laey
"Take the last letters of each words in ""Gerson Roxanne Deborah Nathaniel"" and concatenate them.",nehl
"Take the last letters of each words in ""Violeta Clay Janelle Mac"" and concatenate them.",ayec
"Take the last letters of each words in ""Jenni Leonel Micheal Kat"" and concatenate them.",illt
"Take the last letters of each words in ""Daphne Lola Joanna Sheena"" and concatenate them.",eaaa
"Take the last letters of each words in ""Otto Marjorie Leonor Esther"" and concatenate them.",oerr
"Take the last letters of each words in ""Joyce Leroy Alyssa Maggie"" and concatenate them.",eyae
"Take the last letters of each words in ""Maryam Susy Trinity Pearl"" and concatenate them.",myyl
"Take the last letters of each words in ""Fermin Berenice Marianne Eleanor"" and concatenate them.",neer
"Take the last letters of each words in ""Sabrina Pete Mary La"" and concatenate them.",aeya
"Take the last letters of each words in ""Lorraine Corinne Kate Floyd"" and concatenate them.",eeed
"Take the last letters of each words in ""Carmelo Tony Susan Sara"" and concatenate them.",oyna
"Take the last letters of each words in ""Boris Sabina Kaitlyn Cameron"" and concatenate them.",sann
"Take the last letters of each words in ""Elizabeth Mitch Brooke Jordyn"" and concatenate them.",hhen
"Take the last letters of each words in ""Delia Kathleen Mateo Marvin"" and concatenate them.",anon
"Take the last letters of each words in ""Kathy Elsa Alba Ivette"" and concatenate them.",yaae
"Take the last letters of each words in ""Sherry Ben Allison Anthony"" and concatenate them.",ynny
"Take the last letters of each words in ""Seth Dario Anne Jodie"" and concatenate them.",hoee
"Take the last letters of each words in ""Andres Mary Ann Sydney Dina"" and concatenate them.",snya
"Take the last letters of each words in ""Clayton Edison Debbie Elvira"" and concatenate them.",nnea
"Take the last letters of each words in ""Britt Tamara Elvis Nayeli"" and concatenate them.",tasi
"Take the last letters of each words in ""Cristina Saad Bridget Katie"" and concatenate them.",adte
"Take the last letters of each words in ""Stella Janis Darren Lena"" and concatenate them.",asna
"Take the last letters of each words in ""Mia Art Samantha Lety"" and concatenate them.",atay
"Take the last letters of each words in ""Maria Elena Dewayne Mj Elliott"" and concatenate them.",aejt
"Take the last letters of each words in ""Amanda Geoff Belinda Gaurav"" and concatenate them.",afav
"Take the last letters of each words in ""María Fredy Bridgette Kenya"" and concatenate them.",ayea
"Take the last letters of each words in ""Larissa Shawna Alma Paulette"" and concatenate them.",aaae
"Take the last letters of each words in ""Evelyn Mason Shelby Aldo"" and concatenate them.",nnyo
"Take the last letters of each words in ""Georgina Joshua Lindsey César"" and concatenate them.",aayr
"Take the last letters of each words in ""Courtney Ann John Fer"" and concatenate them.",ynnr
"Take the last letters of each words in ""Stevie Julie Leonard Karina"" and concatenate them.",eeda
"Take the last letters of each words in ""Jon Heath Reynaldo Catherine"" and concatenate them.",nhoe
"Take the last letters of each words in ""Christina Edna Ileana Lynette"" and concatenate them.",aaae
"Take the last letters of each words in ""Yasmin Yesenia Carmela Susie"" and concatenate them.",naae
"Take the last letters of each words in ""Jermaine Pat Tammie Olivia"" and concatenate them.",etea
"Take the last letters of each words in ""Geovanny Tom Katelyn Jennifer"" and concatenate them.",ymnr
"Take the last letters of each words in ""Buddy Violet Johana Tina"" and concatenate them.",ytaa
"Take the last letters of each words in ""Jeremiah Kelley Josue Veronica"" and concatenate them.",hyea
"Take the last letters of each words in ""Cassie Clifton Erik Everardo"" and concatenate them.",enko
"Take the last letters of each words in ""Pauline Kerry Jeannette Hope"" and concatenate them.",eyee
"Take the last letters of each words in ""Chloe Flaco Theodore Nathalie"" and concatenate them.",eoee
"Take the last letters of each words in ""Janette Stacey Ronny Kim"" and concatenate them.",eyym
"Take the last letters of each words in ""Nidia Rachelle Lauren Shelia"" and concatenate them.",aena
"Take the last letters of each words in ""Angela Krista Cora Denisse"" and concatenate them.",aaae
"Take the last letters of each words in ""Agnes Adrienne Haley Riley"" and concatenate them.",seyy
"Take the last letters of each words in ""Wilmer Valerie Melissa Eloisa"" and concatenate them.",reaa
"Take the last letters of each words in ""Jason Betty Elisa Jay"" and concatenate them.",nyay
"Take the last letters of each words in ""Jody Juan Rebekah Kaylee"" and concatenate them.",ynhe
"Take the last letters of each words in ""Len Marquis Kylie Sandra"" and concatenate them.",nsea
"Take the last letters of each words in ""Marlen Sonja Anita Dale"" and concatenate them.",naae
